flight_discount_score,hotel_discount_score,user_score,booking_score,flight_booking_score,hotel_booking_score,engagement_score,flight_travel_score,hotel_travel_score,general_travel_score,spending_score,cancellation_score
1.0,0.06845990192227529,0.004981354524874216,0.07166249634496162,0.1489081827338221,0.10888628535032127,0.10064821879426197,0.27011245540778245,0.13771283997017866,0.1789286207211387,0.19869606512978202,0.026538651700646308
0.0,1.0,0.00622790950059618,0.03530892129123424,0.028319848284205484,0.12550043469814573,0.07821291784190586,0.07853788237868567,0.18967421765860137,0.14966985306178518,0.18864141695302844,0.04713592171257748
0.0,0.0,1.0,0.006047975843403461,0.005913182508167383,0.002211883587021068,-0.006601455159284279,0.01629208981775176,0.006751593670746047,0.006798639281161043,0.00691937853163932,-0.004424517920975726
0.0,0.0,0.0,1.0,0.6297476377427427,0.7727528870209541,0.5109314272174483,0.5860871814079222,0.5164651403236926,0.6456189973767731,0.6172269570594402,0.10196335038308364
0.0,0.0,0.0,0.0,1.0,0.3331219003738745,0.47372408577513536,0.7256344387837961,0.16288159538444522,0.5180830940917167,0.4358349369025398,0.1246413815997177
0.0,0.0,0.0,0.0,0.0,1.0,0.5318580385352389,0.502857727831129,0.7660841608134773,0.7233741793013346,0.7821633853251571,0.052068131003942794
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4787080362957825,0.3980392589192101,0.5444086600581238,0.5074202999070946,0.44593042330850785
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4804204472684275,0.7186387963508285,0.6736810406365193,0.07941491385477356
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7429718714986169,0.8438146803121198,0.017286626778364685
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.889798498282039,0.11319414489022737
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05618006756239137
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
