Churn-risk Users;Flight Discount Hunter;Frequent Flight Traveler;Frequent Hotel Traveller;Frequent Traveller with Cancellations;Hotel Discount Hunter
0.09;0.18;0.04;0.1;0.09;0.09
0.0;1.32;0.24;0.0;0.72;0.59
0.0;0.01;0.0;0.0;0.0;0.0
0.06;0.03;0.01;0.07;0.06;0.12
0.0;0.22;0.07;0.76;0.72;0.87
0.69;93.63;83.91;110.55;95.29;89.08
1.91;1.42;1.31;1.46;1.18;1.33
86.43;110.95;130.0;96.4;1027.11;121.53
11.59;14.89;17.46;12.93;42.51;16.32
0.02;4.55;4.68;0.0;7.13;4.56
0.01;1.23;1.23;0.0;1.47;1.21
0.0;0.65;0.69;0.0;0.76;0.67
17.67;2390.3;2279.46;3.42;3927.73;2248.43
0.01;1.7;2.39;0.0;3.04;2.12
0.01;0.35;0.28;0.0;0.41;0.27
0.0;1.06;1.16;1.34;1.05;1.2
0.0;3.83;4.28;8.22;5.0;4.51
0.0;1.71;2.41;1.21;2.9;2.17
0.0;0.65;0.72;1.0;0.59;0.73
0.0;0.0;0.0;0.0;0.68;0.0
